domainID,siteID,year,month,discharge_month_mean_L_sec,discharge_month_max,discharge_month_min,fishLifeStage,scientificName,taxonRank,taxonID,fish_month_tally,sum_fish_mass
D07,LECO,2021,10,163.7433669354839,815.32,100.14,NA,NA,NA,NA,NA,NA
D07,LECO,2021,11,130.94265277777777,349.79,96.63,adult,Oncorhynchus mykiss,species,ONCMYK,18,1269.8
D07,LECO,2021,11,130.94265277777777,349.79,96.63,adult,Rhinichthys atratulus,species,RHIATR,277,732.0000000000003
D07,LECO,2021,11,130.94265277777777,349.79,96.63,adult,Rhinichthys cataractae,species,RHICAT,83,673.9
D07,LECO,2021,11,130.94265277777777,349.79,96.63,gravid female,Rhinichthys atratulus,species,RHIATR,42,284.00000000000006
D07,LECO,2021,11,130.94265277777777,349.79,96.63,gravid female,Rhinichthys cataractae,species,RHICAT,4,54.8
D07,LECO,2021,11,130.94265277777777,349.79,96.63,juvenile,Oncorhynchus mykiss,species,ONCMYK,53,459.9
D07,LECO,2021,11,130.94265277777777,349.79,96.63,juvenile,Rhinichthys atratulus,species,RHIATR,55,42.59999999999998
D07,LECO,2021,11,130.94265277777777,349.79,96.63,juvenile,Rhinichthys cataractae,species,RHICAT,20,60.00000000000001
D07,LECO,2021,11,130.94265277777777,349.79,96.63,young of year,Oncorhynchus mykiss,species,ONCMYK,11,45.6
D07,LECO,2021,11,130.94265277777777,349.79,96.63,young of year,Rhinichthys atratulus,species,RHIATR,37,11.100000000000005
D07,LECO,2021,12,147.68699932795695,622.05,106.83,NA,NA,NA,NA,NA,NA
D07,LECO,2022,1,306.64774865591403,1251.03,167.69,NA,NA,NA,NA,NA,NA
D07,LECO,2022,2,313.91005952380976,1690.09,150.17,NA,NA,NA,NA,NA,NA
D07,LECO,2022,3,299.208746639785,719.5,194.08,NA,NA,NA,NA,NA,NA
D07,LECO,2022,4,275.02763541666667,890.26,176.66,adult,Campostoma anomalum,species,CAMANO,1,21.1
D07,LECO,2022,4,275.02763541666667,890.26,176.66,adult,Oncorhynchus mykiss,species,ONCMYK,5,474.1
D07,LECO,2022,4,275.02763541666667,890.26,176.66,adult,Rhinichthys atratulus,species,RHIATR,69,226.59999999999994
D07,LECO,2022,4,275.02763541666667,890.26,176.66,adult,Rhinichthys cataractae,species,RHICAT,20,174.39999999999998
D07,LECO,2022,4,275.02763541666667,890.26,176.66,gravid female,Rhinichthys atratulus,species,RHIATR,2,9.7
D07,LECO,2022,4,275.02763541666667,890.26,176.66,gravid female,Rhinichthys cataractae,species,RHICAT,2,23.1
D07,LECO,2022,4,275.02763541666667,890.26,176.66,juvenile,Oncorhynchus mykiss,species,ONCMYK,9,178.7
D07,LECO,2022,4,275.02763541666667,890.26,176.66,juvenile,Rhinichthys atratulus,species,RHIATR,19,14
D07,LECO,2022,4,275.02763541666667,890.26,176.66,juvenile,Rhinichthys cataractae,species,RHICAT,5,17.7
