domainID,siteID,year,month,discharge_month_mean_L_sec,discharge_month_max,discharge_month_min
D07,LECO,2021,10,163.7433669354839,815.32,100.14
D07,LECO,2021,11,130.94265277777777,349.79,96.63
D07,LECO,2021,12,147.68699932795695,622.05,106.83
D07,LECO,2022,1,306.64774865591403,1251.03,167.69
D07,LECO,2022,2,313.91005952380976,1690.09,150.17
D07,LECO,2022,3,299.208746639785,719.5,194.08
D07,LECO,2022,4,275.02763541666667,890.26,176.66
D07,LECO,2022,5,334.629311155914,2292.38,170.23
D07,LECO,2022,6,188.49894791666674,343.31,129.57
D07,LECO,2022,7,324.02505376344095,6188.45,126.51
D07,LECO,2022,8,179.22482190860202,547.4,68.74
D07,LECO,2022,9,90.43611111111116,613.25,21.54
D07,LECO,2022,10,41.60165994623656,144.26,26.1
D07,LECO,2022,11,87.34898611111115,908.75,21.04
D07,LECO,2022,12,206.1532694892472,1162.35,47.08
D07,WALK,2021,10,17.629885752688182,58.97,5.64
D07,WALK,2021,11,19.33879513888889,29.57,15.51
D07,WALK,2021,12,42.88891465053762,119.5,16.26
D07,WALK,2022,1,54.96514448924734,357.95,16.86
D07,WALK,2022,2,54.24656994047623,525.29,14
D07,WALK,2022,3,37.61360887096777,106.78,19.28
D07,WALK,2022,4,34.45825,119.42,14.23
D07,WALK,2022,5,10.848635752688171,30.49,8.04
D07,WALK,2022,6,7.176350694444444,11.44,6.19
D07,WALK,2022,7,6.521619623655914,30.59,5.27
D07,WALK,2022,8,5.739942876344088,35.62,4.37
D07,WALK,2022,9,5.843496527777778,19.22,4.68
D07,WALK,2022,10,6.458877688172044,8.6,5.94
D07,WALK,2022,11,8.347024305555555,32.15,7.25
D07,WALK,2022,12,27.134465725806443,184.08,8.28
D08,MAYF,2021,10,101.71182123655913,304.01,63.77
D08,MAYF,2021,11,107.52924305555555,537.95,79.32
D08,MAYF,2021,12,227.6844758064517,2417.16,101.83
D08,MAYF,2022,1,369.5729065860217,2112.8,202.28
D08,MAYF,2022,2,476.0120238095237,3237.44,191.18
D08,MAYF,2022,3,490.30959005376377,7454.7,213.91
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03
D08,MAYF,2022,5,174.5258299731183,1388.64,38.99
D08,MAYF,2022,6,55.54962152777774,160.54,17.62
D08,MAYF,2022,7,50.33970430107527,617.45,10.59
D08,MAYF,2022,8,86.59313210227263,1134.16,9.96
D08,MAYF,2022,9,44.58053472222225,78.9,17.54
D08,MAYF,2022,10,75.70049395161287,418.71,30.83
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88
D08,MAYF,2022,12,149.68365255376347,1240.67,89.89
D14,SYCA,2021,10,100.15013440860191,4856.64,34.88
D14,SYCA,2021,11,35.75054513888888,47.21,24.52
D14,SYCA,2021,12,584.5100470430091,17935.7,31.53
D14,SYCA,2022,1,726.4267103494631,23430.4,70.61
D14,SYCA,2022,2,68.12755580357143,138.64,53.23
D14,SYCA,2022,3,58.75840389784946,154.5,49.15
D14,SYCA,2022,4,57.16395486111111,75,51.41
D14,SYCA,2022,5,57.23659274193548,63.96,44.24
D14,SYCA,2022,6,33.8880486111111,44.59,22.64
D14,SYCA,2022,7,8.875631720430144,1293.99,0
D14,SYCA,2022,8,0,0,0
D14,SYCA,2022,9,0,0,0
D14,SYCA,2022,10,0,0,0
D14,SYCA,2022,11,0,0,0
D14,SYCA,2022,12,0,0,0
D15,REDB,2021,10,28.064005376344127,54.81,17.13
D15,REDB,2021,11,31.69710416666668,47.29,30.22
D15,REDB,2021,12,30.536438172043017,53.6,14.35
D15,REDB,2022,1,37.54518481182796,47.29,21.23
D15,REDB,2022,2,34.799408482142844,48.88,11.18
D15,REDB,2022,3,72.38639448924698,182.33,16.13
D15,REDB,2022,4,123.5165347222223,159.5,98.75
D15,REDB,2022,5,116.81757392473129,147.99,88.56
D15,REDB,2022,6,76.44683333333337,108.85,53.28
D15,REDB,2022,7,38.92747983870973,57.66,23.58
D15,REDB,2022,8,25.888548387096783,58.6,16.78
D15,REDB,2022,9,20.720260416666672,33.16,15.4
D15,REDB,2022,10,28.51257056451613,63.83,20.54
D15,REDB,2022,11,41.680677083333336,105.98,16.28
D15,REDB,2022,12,42.888968413978496,56.63,16.41
D17,BIGC,2020,10,13.691196236559144,24.01,4.21
D17,BIGC,2020,11,34.7804375,47.05,14.12
D17,BIGC,2020,12,53.21876680107527,111.68,43.89
D17,BIGC,2021,1,55.38925403225807,102.09,43.04
D17,BIGC,2021,2,86.07878348214287,377.57,48.82
D17,BIGC,2021,3,74.72718413978494,343.37,42.33
D17,BIGC,2021,4,40.88809027777777,54.71,27.45
D17,BIGC,2021,5,20.610020161290315,31.44,8.45
D17,BIGC,2021,6,5.628381944444452,15.17,0
D17,BIGC,2021,7,0.9752049731182897,7.41,0
D17,BIGC,2021,8,1.1476881720430137,7.93,0
D17,BIGC,2021,9,2.455729166666658,11.05,0
D17,BIGC,2021,10,30.684845430107544,673.09,1.43
D17,BIGC,2021,11,38.134034722222225,75.05,27.47
D17,BIGC,2021,12,114.36206653225788,2413.73,33.59
D17,BIGC,2022,1,62.21864919354837,93.66,36.48
D17,BIGC,2022,2,30.930703125000004,37.08,27.42
D17,BIGC,2022,3,31.26607190860215,49.85,25.81
D17,BIGC,2022,4,27.75339236111111,59.79,22.69
D17,BIGC,2022,5,18.432725134408603,24.05,10.49
D17,BIGC,2022,6,15.884347222222226,30.31,7.1
D17,BIGC,2022,7,11.298034274193546,23.74,4.59
D17,BIGC,2022,8,7.862331989247319,21.96,0.23
D17,BIGC,2022,9,9.858010416666675,20.84,0
D17,BIGC,2022,10,9.100188172043012,14.6,7.2
D17,BIGC,2022,11,29.076579861111107,388.01,8.01
D17,BIGC,2022,12,140.53298723118286,6839.86,19.9
D17,TECR,2021,10,3.4057022849462397,72.18,1.28
D17,TECR,2021,11,3.251888888888889,4.41,3.07
D17,TECR,2021,12,9.124818548387086,270.69,3.01
D17,TECR,2022,1,4.904942876344085,6.41,4.54
D17,TECR,2022,2,8.652924107142859,18.25,4.67
D17,TECR,2022,3,23.492812499999996,73.12,7.13
D17,TECR,2022,4,33.35273611111112,67.83,23.91
D17,TECR,2022,5,17.255473790322586,27.75,11.1
D17,TECR,2022,6,9.05587847222222,12.05,6.23
D17,TECR,2022,7,4.9167708333333335,8.23,2.05
D17,TECR,2022,8,2.661055107526882,7.01,1.48
D17,TECR,2022,9,5.170232638888884,9.5,1.4
D17,TECR,2022,10,7.171710349462359,18.91,0.66
D17,TECR,2022,11,13.678062500000001,64.22,5.67
D17,TECR,2022,12,27.385480510752704,419.02,7.58
