domainID,siteID,year,month,plant_month_tally
D07,LECO,2016,3,1
D07,LECO,2018,7,4
D07,LECO,2018,10,31
D07,LECO,2019,3,28
D07,LECO,2019,7,12
D07,LECO,2019,10,2
D07,LECO,2020,6,11
D07,LECO,2020,7,4
D07,LECO,2020,10,2
D07,LECO,2021,3,23
D07,LECO,2021,8,7
D07,LECO,2021,10,1
D07,LECO,2022,3,14
D07,LECO,2022,7,8
D07,LECO,2022,10,6
D07,WALK,2015,11,63
D07,WALK,2016,3,68
D07,WALK,2016,7,19
D07,WALK,2016,10,19
D07,WALK,2017,3,15
D07,WALK,2017,7,14
D07,WALK,2017,10,15
D07,WALK,2018,3,8
D07,WALK,2018,7,26
D07,WALK,2018,10,24
D07,WALK,2019,3,41
D07,WALK,2019,7,32
D07,WALK,2019,10,31
D07,WALK,2020,3,25
D07,WALK,2020,7,31
D07,WALK,2020,10,23
D07,WALK,2021,3,32
D07,WALK,2021,7,10
D07,WALK,2021,10,11
D07,WALK,2022,3,24
D07,WALK,2022,7,13
D07,WALK,2022,10,12
D08,MAYF,2015,4,3
D08,MAYF,2015,11,1
D14,SYCA,2017,7,40
D14,SYCA,2019,2,3
D14,SYCA,2019,4,4
D14,SYCA,2019,6,75
D14,SYCA,2020,1,4
D14,SYCA,2020,9,10
D14,SYCA,2022,4,81
D14,SYCA,2022,6,26
D15,REDB,2016,10,4
D15,REDB,2017,7,17
D15,REDB,2017,10,6
D15,REDB,2018,4,14
D15,REDB,2018,7,10
D15,REDB,2018,10,18
D15,REDB,2019,7,19
D15,REDB,2019,10,19
D15,REDB,2021,7,29
D15,REDB,2021,10,45
D15,REDB,2022,4,37
D15,REDB,2022,7,15
D17,BIGC,2018,5,21
D17,BIGC,2018,7,40
D17,BIGC,2018,9,31
D17,BIGC,2019,4,102
D17,BIGC,2019,7,52
D17,BIGC,2019,9,46
D17,BIGC,2021,4,17
D17,BIGC,2021,7,78
D17,BIGC,2022,4,70
D17,BIGC,2022,7,56
D17,BIGC,2022,10,30
D17,TECR,2019,7,159
D17,TECR,2019,9,95
D17,TECR,2021,7,77
D17,TECR,2021,9,70
D17,TECR,2022,5,88
D17,TECR,2022,7,67
D17,TECR,2022,9,67
