uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach,publicationDate,release
3894e37b-0d90-44b7-86ad-c4ace625aff1,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,2,SALTRU,Salmo trutta,species,NA,NA,NA,NA,114,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
b04ede97-cdc7-4c43-a203-ec2823fb8447,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,22,SALTRU,Salmo trutta,species,NA,NA,NA,NA,197,70,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
2630bff9-9e6b-4468-9174-90d6c5de16c2,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,24,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,153,33,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
9166e634-61dd-408b-ba38-1b2b6aa52208,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,12,SALTRU,Salmo trutta,species,NA,NA,NA,NA,106,10,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
8a8121eb-5684-440c-bd1c-23006a1ee601,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,8,SALTRU,Salmo trutta,species,NA,NA,NA,NA,222,90,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
111b6eff-7b89-447a-ba3a-ab16b0cda245,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,23,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,124,20,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
2df4bb4d-81c8-4d00-a15d-9ad3ed7b4058,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,26,SALTRU,Salmo trutta,species,NA,NA,NA,NA,192,66,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
cc040571-3511-4214-9521-743db80a8708,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,6,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,86,7,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
79ae2145-3826-420a-9a0d-b9b9f54b6935,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,11,SALTRU,Salmo trutta,species,NA,NA,NA,NA,118,15,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
cc9a10bf-1582-4c55-ab7f-fb4c15b30d04,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,18,SALTRU,Salmo trutta,species,NA,NA,NA,NA,118,18,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
