table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
fsh_bulkCount,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
fsh_bulkCount,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
fsh_bulkCount,siteID,NEON site code,string,NA,basic,asIs,N,NA
fsh_bulkCount,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,Y,NA
fsh_bulkCount,passStartTime,The start time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_bulkCount,passEndTime,The end time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_bulkCount,boutEndDate,The end date of the entire bout,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_bulkCount,passNumber,Number of the sampling pass within a reach,unsigned integer,number,basic,integer,Y,NA
fsh_bulkCount,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,Y,NA
fsh_bulkCount,taxonID,"Species code, based on one or more sources",string,NA,basic,asIs,Y,NA
fsh_bulkCount,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic,asIs,N,NA
fsh_bulkCount,morphospeciesID,Identifier for morphospecies,string,NA,basic,asIs,Y,NA
fsh_bulkCount,bulkFishCount,The number of fish counted during bulk processing,unsigned integer,number,basic,integer,N,NA
fsh_bulkCount,actualOrEstimated,Indication of whether the count is actual or estimated,string,NA,basic,LOV,N,fsh.actualOrEstimated
fsh_bulkCount,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,basic,LOV,N,Identification Qualifiers
fsh_bulkCount,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic,asIs,N,NA
fsh_bulkCount,identifiedBy,An identifier for the technician who identified the specimen,string,NA,basic,asIs,N,NA
fsh_bulkCount,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_bulkCount,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,basic,asIs,N,NA
fsh_bulkCount,dataQF,Data quality flag,string,NA,basic,asIs,N,NA
fsh_bulkCount,barrierSubReach,Identifies which sub reach was sampled for reaches that are split by a barrier,string,NA,basic,LOV,N,fsh.barrierSubReach
fsh_bulkCount,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
fsh_bulkCount,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
fsh_fieldData,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
fsh_fieldData,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
fsh_fieldData,siteID,NEON site code,string,NA,basic,asIs,N,NA
fsh_fieldData,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,Y,NA
fsh_fieldData,aquaticSiteType,"Type of aquatic site, includes lake, river or stream",string,NA,basic,LOV,N,aquaticSiteType
fsh_fieldData,boutID,Identifier for the bout that is being completed,string,NA,basic,LOV,N,fsh.boutID
fsh_fieldData,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,Y,NA
fsh_fieldData,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic,*.######(round),N,NA
